id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
66,2024-02-05 09:48:57.524729,1,2024-03-29 11:06:03.389995,1,0,custom_spider_dz1201,t4/files/jar,t4/files/jar/custom_spider_dz1201.jar,True,66,.jar,,1,0,0,0,True
67,2024-02-05 09:56:10.488387,1,2024-03-29 11:06:03.396088,1,0,哔哩,t4/files/js_parse_api,t4/files/js_parse_api/哔哩.js,True,67,.js,,1,0,0,0,True
78,2024-03-08 15:53:21.065726,1,2024-03-29 11:06:03.415410,1,0,cheerio.min,t4/files/drpy3_libs,t4/files/drpy3_libs/cheerio.min.js,True,72,.js,,1,0,0,0,True
79,2024-03-08 15:53:21.070369,1,2024-03-29 11:06:03.418300,1,0,crypto-js,t4/files/drpy3_libs,t4/files/drpy3_libs/crypto-js.js,True,73,.js,,1,0,0,0,True
125,2024-03-19 11:00:53.115130,1,2024-03-29 11:06:03.421162,1,0,drpy3.hiker,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.hiker.js,True,119,.js,,1,0,0,0,True
80,2024-03-08 15:53:21.072166,1,2024-03-29 11:06:03.423959,1,0,drpy3,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.js,True,74,.js,,1,0,0,0,True
81,2024-03-08 15:53:21.075372,1,2024-03-29 11:06:03.427239,1,0,drpy3.min,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.min.js,True,75,.js,,1,0,0,0,True
82,2024-03-08 15:53:21.077160,1,2024-03-29 11:06:03.431334,1,0,gbk,t4/files/drpy3_libs,t4/files/drpy3_libs/gbk.js,True,76,.js,,1,0,0,0,True
83,2024-03-08 15:53:21.079211,1,2024-03-29 11:06:03.434272,1,0,模板,t4/files/drpy3_libs,t4/files/drpy3_libs/模板.js,True,77,.js,,1,0,0,0,True
85,2024-03-10 11:22:54.396452,1,2024-03-29 11:06:03.437031,1,0,1080P,t4/files/drpy3_js,t4/files/drpy3_js/1080P.js,True,79,.js,,1,0,0,0,True
86,2024-03-10 11:22:54.404715,1,2024-03-29 11:06:03.440104,1,0,18av,t4/files/drpy3_js,t4/files/drpy3_js/18av.js,True,80,.js,,1,0,0,0,True
87,2024-03-10 11:22:54.410304,1,2024-03-29 11:06:03.443867,1,0,369影视,t4/files/drpy3_js,t4/files/drpy3_js/369影视.js,True,81,.js,,1,0,0,0,True
88,2024-03-10 11:22:54.415189,1,2024-03-29 11:06:03.447011,1,0,4khdr,t4/files/drpy3_js,t4/files/drpy3_js/4khdr.js,True,82,.js,,1,0,0,0,True
