央视频道,#genre#
辅视角 2-标清,http://101.17.192.171:8007/rtp/239.253.93.130:6298
辅视角 3-标清,http://101.17.192.171:8007/rtp/239.253.93.131:6299
临时直播频道2,http://101.17.192.171:8007/rtp/239.253.92.21:6226
临时直播频道3,http://101.17.192.171:8007/rtp/239.253.92.216:6227
临时直播频道4,http://101.17.192.171:8007/rtp/239.253.92.219:6228
临时直播频道5,http://101.17.192.171:8007/rtp/239.253.92.220:6229
九屏直播频道,http://101.17.192.171:8007/rtp/239.253.92.203:6150
慢直播九屏2,http://101.17.192.171:8007/rtp/239.253.94.26:6625

河北,#genre#
河北公共,http://106.113.149.200:2222/rtp/239.254.200.22:6000
河北公共高清,http://101.17.192.171:8007/rtp/239.253.92.175:6005
河北农民,http://106.113.149.200:2222/rtp/239.254.200.23:6000
河北农民高清,http://101.17.192.171:8007/rtp/239.253.92.176:6006
河北少儿科教,http://106.113.149.200:2222/rtp/239.254.200.21:6000
河北少儿科教高清,http://101.17.192.171:8007/rtp/239.253.92.174:6004
河北影视剧,http://106.113.149.200:2222/rtp/239.254.200.20:6000
河北影视剧高清,http://101.17.192.171:8007/rtp/239.253.92.173:6003
河北杂技频道,http://106.113.149.200:2222/rtp/239.254.201.139:7203
河北经济生活,http://106.113.149.200:2222/rtp/239.254.200.18:6000
河北经济生活高清,http://101.17.192.171:8007/rtp/239.253.92.171:6001
河北都市,http://106.113.149.200:2222/rtp/239.254.200.19:6000
河北都市高清,http://101.17.192.171:8007/rtp/239.253.92.172:6002
睛彩河北,http://106.113.149.200:2222/rtp/239.254.200.27:6000
睛彩河北,http://101.17.192.171:8007/rtp/239.253.92.104:6221
4K频道,http://101.17.192.171:8007/rtp/239.253.92.114:6187
4k直播,http://106.113.149.200:2222/rtp/239.254.200.243:6000
BTV冬奥纪实,http://106.113.149.200:2222/rtp/239.254.200.188:6311
SLTV,http://106.113.149.200:2222/rtp/239.254.201.100:5179
七彩戏剧,http://106.113.149.200:2222/rtp/239.254.201.180:7213
三佳购物,http://106.113.149.200:2222/rtp/239.254.200.143:6000
三河电视,http://101.17.192.171:8007/rtp/239.253.93.143:6311
三河电视,http://106.113.149.200:2222/rtp/239.254.201.113:5315
东光电视,http://101.17.192.171:8007/rtp/239.253.93.96:6262
东光电视,http://106.113.149.200:2222/rtp/239.254.201.76:5331
中式八球国际公开赛,http://106.113.149.200:2222/rtp/239.254.200.187:6000
丰南电视,http://106.113.149.200:2222/rtp/239.254.200.218:5186
丰南电视,http://101.17.192.171:8007/rtp/239.253.92.231:6070
丰宁电视,http://106.113.149.200:2222/rtp/239.254.200.5:5290
丰宁综合,http://101.17.192.171:8007/rtp/239.253.93.210:6388
丰润电视,http://101.17.192.171:8007/rtp/239.253.92.252:6156
丰润电视,http://106.113.149.200:2222/rtp/239.254.201.58:5197
临城电视,http://101.17.192.171:8007/rtp/239.253.93.167:6335
临漳电视,http://101.17.192.171:8007/rtp/239.253.93.84:6250
临漳电视,http://106.113.149.200:2222/rtp/239.254.201.73:5221
临西电视,http://101.17.192.171:8007/rtp/239.253.94.29:6628
乐亭电视,http://106.113.149.200:2222/rtp/239.254.201.107:5200
乐亭电视,http://101.17.192.171:8007/rtp/239.253.93.250:6290
井陉电视,http://106.113.149.200:2222/rtp/239.254.201.215:6167
井陉电视,http://101.17.192.171:8007/rtp/239.253.93.205:6383
井陉矿区电视,http://106.113.149.200:2222/rtp/239.254.201.14:5175
井陉矿区电视,http://101.17.192.171:8007/rtp/239.253.92.215:6067
任县电视,http://101.17.192.171:8007/rtp/239.253.93.145:6313
任县电视,http://106.113.149.200:2222/rtp/239.254.201.115:5381
优购物,http://106.113.149.200:2222/rtp/239.254.201.78:6283
体育赛事,http://106.113.149.200:2222/rtp/239.254.201.170:8176
保定公共频道,http://106.113.149.200:2222/rtp/239.254.200.145:6000
保定公共频道,http://101.17.192.171:8007/rtp/239.253.93.4:6157
保定新闻综合,http://101.17.192.171:8007/rtp/239.253.93.2:6153
保定新闻综合,http://106.113.149.200:2222/rtp/239.254.200.144:6000
保定生活健康,http://106.113.149.200:2222/rtp/239.254.200.146:6000
保定生活健康,http://101.17.192.171:8007/rtp/239.253.93.5:6158
元氏电视,http://101.17.192.171:8007/rtp/239.253.92.142:6040
元氏电视,http://106.113.149.200:2222/rtp/239.254.200.191:5169
全纪实,http://106.113.149.200:2222/rtp/239.254.201.200:6356
兴隆电视,http://106.113.149.200:2222/rtp/239.254.201.95:5295
兴隆电视,http://101.17.192.171:8007/rtp/239.253.93.104:6271
冀州电视,http://101.17.192.171:8007/rtp/239.253.93.34:6187
冀州电视,http://106.113.149.200:2222/rtp/239.254.200.179:5346
内丘电视,http://101.17.192.171:8007/rtp/239.253.93.102:6268
内丘电视,http://106.113.149.200:2222/rtp/239.254.201.77:5380
冰雪体育,http://106.113.149.200:2222/rtp/239.254.201.172:7244
南和电视,http://101.17.192.171:8007/rtp/239.253.93.80:6246
南和电视,http://106.113.149.200:2222/rtp/239.254.201.72:6000
南宫电视,http://101.17.192.171:8007/rtp/239.253.93.48:6201
南宫电视,http://106.113.149.200:2222/rtp/239.254.201.48:5371
南皮电视,http://106.113.149.200:2222/rtp/239.254.201.119:5335
南皮电视,http://101.17.192.171:8007/rtp/239.253.93.149:6317
卢龙电视,http://106.113.149.200:2222/rtp/239.254.201.216:5233
卢龙电视,http://101.17.192.171:8007/rtp/239.253.93.206:6384
双滦电视,http://106.113.149.200:2222/rtp/239.254.201.63:5293
双滦电视,http://101.17.192.171:8007/rtp/239.253.92.147:6224
吴桥电视,http://106.113.149.200:2222/rtp/239.254.201.138:5337
吴桥电视,http://101.17.192.171:8007/rtp/239.253.93.169:6337
唐县电视,http://106.113.149.200:2222/rtp/239.254.201.41:5264
唐县电视,http://101.17.192.171:8007/rtp/239.253.93.30:6183
唐山公共,http://106.113.149.200:2222/rtp/239.254.200.169:6000
唐山公共,http://101.17.192.171:8007/rtp/239.253.92.128:6028
唐山影视,http://106.113.149.200:2222/rtp/239.254.200.168:6000
唐山影视,http://101.17.192.171:8007/rtp/239.253.92.127:6027
唐山新闻综合,http://106.113.149.200:2222/rtp/239.254.200.166:6000
唐山新闻综合,http://101.17.192.171:8007/rtp/239.253.92.245:6089
唐山生活服务,http://106.113.149.200:2222/rtp/239.254.200.167:6000
唐山生活服务,http://101.17.192.171:8007/rtp/239.253.92.126:6026
固安电视,http://106.113.149.200:2222/rtp/239.254.201.101:5312
